Familia,Resultado,DocumentID,Filename,ValueText,RevisionNo
_SW_Detailing_Mode_,MSDCRVOSC0008,6620,"MSDCRVOSC0008 - Cravo Ø10x6,9 OBT127.SLDDRW",0,5
_SW_Detailing_Mode_,03-55-108,6634,03-55-108 - OBT108.SLDDRW,0,4
_SW_Detailing_Mode_,OBT128,6680,"OBT128 - ø6,95 x 5,10.SLDDRW",0,4
_SW_Detailing_Mode_,EP15520007,6850,EP15520007 - Montagem Dob Superior Oscilo Direita.SLDDRW,0,4
_SW_Detailing_Mode_,EP05520010,6856,EP05520010 - Repassar-vazar OBT090.SLDDRW,0,2
_SW_Detailing_Mode_,EP05520009,6857,EP05520009 - Fiel excentrico Dob Sup Oscilo.SLDDRW,0,4
_SW_Detailing_Mode_,EP05520007,6859,EP05520007 - Calço Dob Superior ; OBT040.SLDDRW,0,4
_SW_Detailing_Mode_,08.52.041,6872,08.52.041 - OBT041 Aba superior oscilo.SLDDRW,0,2
_SW_Detailing_Mode_,08.OSC.018,6881,08.OSC.018 - OBT018.SLDDRW,0,2
_SW_Detailing_Mode_,01-52-040,6898,01-52-040 - Calço dobradiça superior (OBT040).SLDDRW,0,2
_SW_Detailing_Mode_,MSDFIELOSC0002,6914,MSDFIELOSC0002 - OBT157.SLDDRW,0,5
_SW_Detailing_Mode_,MSDCRVOSC0016-OBT153,6917,MSDCRVOSC0016-OBT153.SLDDRW,0,7
_SW_Detailing_Mode_,8COPCRR0120-OBT155,6927,8COPCRR0120-OBT155.SLDDRW,0,5
_SW_Detailing_Mode_,03-55-101,6963,03-55-101 - OBT101 - Report.slddrw,0,5
_SW_Detailing_Mode_,EP10555010,7103,EP10555010 - Cravar Dobradiça 2ª Folha Direita Invisível.SLDDRW,0,9
_SW_Detailing_Mode_,EP10555009,7104,EP10555009 - Cravar Dobradiça 2ª Folha Esquerda Invisível.SLDDRW,0,9
_SW_Detailing_Mode_,EP10555008,7105,EP10555008 - Cravar Triângulo do Compasso 500 Direito oscilo Invisível.SLDDRW,0,9
_SW_Detailing_Mode_,EP10555007,7106,EP10555007 - Cravar Triângulo do Compasso 400 Direito oscilo Invisível.SLDDRW,0,8
_SW_Detailing_Mode_,EP10555006,7107,EP10555006 - Cravar Triângulo do Compasso 500 esquerdo oscilo Invisível.SLDDRW,0,7
_SW_Detailing_Mode_,EP10555005,7108,EP10555005 - Cravar Triângulo do Compasso 400 esquerdo oscilo Invisível.SLDDRW,0,7
_SW_Detailing_Mode_,EP10555002,7111,EP10555002 - Cravar Dobradiça Esquerda do compasso 400-500 Invisível.SLDDRW,0,7
_SW_Detailing_Mode_,EP09520016,7121,EP09520016 - Roscar OBT037-2.SLDDRW,0,6
_SW_Detailing_Mode_,EP09520015,7122,EP09520015 - Roscar OBT037-1.SLDDRW,0,6
_SW_Detailing_Mode_,EP06555003,7123,EP06555003 - OBT108 - OBT111 - OBT105 - OBT160 - OBT143 - Ajuste 2F - OBT164 - OBT165.SLDDRW,0,11
_SW_Detailing_Mode_,EP06555002,7124,EP06555002 - OBT115 - OBT110 - OBT140 - OBT142 (ESQ).SLDDRW,0,8
_SW_Detailing_Mode_,EP06520008_A,7126,EP06520008_A - Kit acessorios Osc. OBT052-OBT006-OBT023-OBT026-POS.MTML-OBT095.SLDDRW,0,5
_SW_Detailing_Mode_,EP05555008,7127,EP05555008 - OBT122 (C400) - OBT125 (C500).SLDDRW,0,7
_SW_Detailing_Mode_,EP05555004,7131,EP05555004 - OBT120 (C400 Dir) - OBT 123 (C500 Dir).SLDDRW,0,5
_SW_Detailing_Mode_,EP05555003,7132,EP05555003 - OBT552 - OBT554.SLDDRW,0,8
_SW_Detailing_Mode_,EP05555002,7133,EP05555002 - OBT112 - OBT113 - OBT114.SLDDRW,0,6
_SW_Detailing_Mode_,EP05555001,7134,EP05555001 - OBT102 - OBT103 - OBT104.SLDDRW,0,6
_SW_Detailing_Mode_,EP15520006,7337,EP15520006 - Montagem plastico Ponto de Oscilo.SLDDRW,0,2
_SW_Detailing_Mode_,EP15520005,7338,EP15520005 - Montagem final Ponto de Oscilo.SLDDRW,0,3
_SW_Detailing_Mode_,EP15520004,7339,EP15520004 - Montagem ponteira ML.SLDDRW,0,3
_SW_Detailing_Mode_,EP15520010,7560,EP15520010 - Dob Inf Oscilo DIREITA.SLDDRW,0,5
_SW_Detailing_Mode_,EP10771608,8391,EP10771608 - Testa-7716_piton_cravada.SLDDRW,0,2
_SW_Detailing_Mode_,EP05CT0101,8393,EP05CT0101 - CT 1 G (special client).SLDDRW,0,2
_SW_Detailing_Mode_,EP10003006,8445,EP10003006 - 416900_01+416960_01.SLDDRW,0,4
